,specie link,name,synonyms,genera,genera link,spores 1d lower,spores 2d lower,pileus width lower,stipes long lower,stipes thick lower,spores 1d upper,spores 2d upper,pileus width upper,stipes long upper,stipes thick upper
0,https://www.mykoweb.com/CAF/species/Agaricus_moronii.html,Agaricus moronii,['Agaricus albolutescens'],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.06,0.04,600.0,200.0,150.0,0.075,0.05,1200.0,700.0,300.0
1,https://www.mykoweb.com/CAF/species/Agaricus_arorae.html,Agaricus arorae,[],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.045,0.03,300.0,400.0,50.0,0.05,0.035,800.0,900.0,250.0
2,https://www.mykoweb.com/CAF/species/Agaricus_fissuratus.html,Agaricus fissuratus,['Agaricus arvensis'],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.065,0.045,600.0,400.0,100.0,0.09,0.06,2100.0,1400.0,350.0
3,https://www.mykoweb.com/CAF/species/Agaricus_augustus.html,Agaricus augustus,[],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.075,0.05,600.0,1000.0,600.0,0.105,0.065,3200.0,3700.0,600.0
4,https://www.mykoweb.com/CAF/species/Agaricus_benesii.html,Agaricus benesii,[],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.05,0.03,400.0,500.0,100.0,0.06,0.04,800.0,1100.0,200.0
5,https://www.mykoweb.com/CAF/species/Agaricus_bernardii.html,Agaricus bernardii,[],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.055,0.055,700.0,400.0,300.0,0.07,0.065,1600.0,700.0,450.0
6,https://www.mykoweb.com/CAF/species/Agaricus_bitorquis.html,Agaricus bitorquis,['Agaricus rodmani'],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.05,0.04,500.0,400.0,200.0,0.065,0.055,1500.0,1000.0,400.0
7,https://www.mykoweb.com/CAF/species/Agaricus_subrufescens.html,Agaricus subrufescens,"['Agaricus blazei', 'Psalliota subrufescens']",Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.055,0.04,600.0,600.0,150.0,0.065,0.045,1300.0,1200.0,250.0
8,https://www.mykoweb.com/CAF/species/Agaricus_brunneofibrillosus.html,Agaricus brunneofibrillosus,['Agaricus fuscofibrillosus'],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.05,0.035,400.0,400.0,150.0,0.065,0.04,1500.0,1500.0,250.0
9,https://www.mykoweb.com/CAF/species/Agaricus_californicus.html,Agaricus californicus,[],Agaricus  ,https://www.mykoweb.com/CAF/genera/Agaricus.html,0.05,0.04,400.0,300.0,40.0,0.075,0.055,1100.0,700.0,100.0
